B063	B063	0.0136656	-0.00863156	-0.00272378	-0.00216336	-0.0411337
B064	B064	0.0141634	-0.0071548	-0.00328865	-0.00196422	-0.0348369
B065	B065	0.0134653	-0.00788915	-0.0028669	-0.00207965	-0.0239183
B066	B066	-0.0273983	-0.00495974	-0.0317149	0.00403531	0.00250198
B067	B067	0.0145001	-0.00857416	-0.00266908	-0.00296468	-0.043803
B068	B068	-0.0288006	-0.0051931	-0.0439405	0.00430368	0.00364802
B069	B069	-0.0258851	-0.00559786	-0.0161939	-0.00301091	0.00322783
B070	B070	-0.0279908	-0.00542593	-0.0176463	-0.00298872	0.00390443
B071	B071	-0.0267308	-0.00573568	-0.0417602	0.00261846	0.00302328
B072	B072	0.00757886	-0.00672583	-0.00787887	-0.00212481	-0.0321953
B073	B073	0.0133056	-0.00767984	-0.00234988	0.000634871	-0.00804098
B074	B074	0.0133575	-0.00872954	-0.00485167	-0.00356353	-0.0520213
B075	B075	0.0123179	-0.00770989	-0.00214626	-0.000971875	-0.0137774
B076	B076	0.0132926	-0.00823439	-0.00186683	-0.000447886	-0.0101878
B077	B077	-0.0260698	-0.00560792	-0.0426434	0.00293014	0.00306805
B079	B079	0.0146996	-0.00710487	-0.00180226	-0.00317467	-0.0361793
B081	B081	0.0131244	-0.00748843	-0.00151258	-0.00179872	-0.0296536
B082	B082	0.0122675	-0.0082116	-0.00270263	-0.000455558	-0.0086836
B083	B083	0.0144913	-0.00908543	-0.00246648	-0.00312018	-0.0393919
B084	B084	-0.0120156	-0.00739206	-0.03267	-0.000968693	-0.00741558
B085	B085	0.0135379	-0.00906377	-0.00312972	-0.00267945	-0.0417416
B086	B086	-0.00840467	-0.006246	-0.0194428	0.0011479	-0.0136133
B088	B088	0.0103709	-0.00715242	0.000425187	-0.00111236	-0.0117389
B089	B089	0.012194	-0.00593265	-0.000812715	-0.00179476	-0.0155724
B090	B090	0.0118131	-0.00319093	-0.000707693	-0.00257578	-0.0149044
B091	B091	0.0130588	-0.00101025	-0.000666805	-0.00263175	-0.0194703
B092	B092	0.0136213	-0.00956821	-0.00402106	-0.00449383	-0.0625918
B093	B093	0.0112587	-0.0044076	-0.000884436	-0.00251771	-0.0238065
B094	B094	0.0134739	-0.0060716	-0.00153745	-0.00265867	-0.0316819
B095	B095	0.0145078	-0.00753699	0.000394316	-0.000734297	0.000699485
B096	B096	0.013719	-0.00705116	0.000263009	-0.00249117	-0.0117715
B097	B097	0.0144389	-0.00637032	-0.000330453	-0.00141594	-0.0095395
B100	B100	-0.0276595	-0.00485261	-0.0282967	0.00320045	0.00206239
B101	B101	-0.0199602	-0.00583677	-0.0333627	0.00272388	-0.00126694
B102	B102	-0.0282466	-0.00488378	-0.0289268	0.00296497	0.00209695
B103	B103	-0.0249231	-0.00534602	-0.0308215	0.00348739	0.00065053
B104	B104	0.0146261	-0.00903987	-0.00357782	-0.00389127	-0.0487576
B105	B105	0.0124354	-0.00835213	-0.00139582	-0.000239754	-0.00663347
B106	B106	0.014245	-0.00578237	-0.000262075	-6.01251e-05	-0.00861313
B107	B107	0.0144758	-0.00736249	-0.000541867	3.89036e-05	-0.00489614
B108	B108	0.0129564	-0.00345942	-0.00130009	-0.00250252	-0.0232364
B109	B109	-0.0249385	-0.00364572	-0.0176075	0.00299139	0.00238389
B110	B110	-0.0262063	-0.00515042	-0.0288755	0.00331493	0.00115682
B111	B111	-0.0264817	-0.00508757	-0.0290592	0.0033264	0.00133901
B112	B112	0.0143571	-0.00930793	-0.00333081	-0.00454962	-0.0628753
B113	B113	0.0141162	-0.00898227	-0.00157995	-0.0016225	-0.020062
B114	B114	0.0143903	-0.00972638	-0.00340787	-0.0040321	-0.0544411
